"address","address_lat","address_lng","nearest_mrt_name","distance_to_nearest_mrt"
"180 ANG MO KIO AVENUE 5",1.3767768,103.8390824,"Mayflower",546
"535 ANG MO KIO AVENUE 5",1.3745632,103.8532832,"Ang Mo Kio",969
"538 ANG MO KIO AVENUE 5",1.3756617,103.8533738,"Ang Mo Kio",1058
"502 ANG MO KIO AVENUE 5",1.3758291,103.8498409,"Ang Mo Kio",834
"153 ANG MO KIO AVENUE 5",1.376397,103.8422286,"Yio Chu Kang",1355
"533 ANG MO KIO AVENUE 5",1.3741984,103.8530114,"Ang Mo Kio",812
"154 ANG MO KIO AVENUE 5",1.3763186,103.8414166,"Mayflower",852
"182 ANG MO KIO AVENUE 5",1.3771093,103.8366685,"Mayflower",738
"608 ANG MO KIO AVENUE 5",1.3787451,103.8369103,"Lentor",890
"643 ANG MO KIO AVENUE 5",1.3775486,103.8405779,"Mayflower",889
"523 ANG MO KIO AVENUE 5",1.3729444,103.8531506,"Ang Mo Kio",744
"152 ANG MO KIO AVENUE 5",1.3767366,103.8401188,"Mayflower",652
"524 ANG MO KIO AVENUE 5",1.3734304,103.8530556,"Ang Mo Kio",785
"603 ANG MO KIO AVENUE 5",1.380163,103.8357101,"Lentor",755
"150 ANG MO KIO AVENUE 5",1.3767561,103.8417789,"Yio Chu Kang",1322
"635 ANG MO KIO AVENUE 6",1.3807828,103.842413,"Yio Chu Kang",527
"637 ANG MO KIO AVENUE 6",1.3803431,103.842413,"Yio Chu Kang",575
"646 ANG MO KIO AVENUE 6",1.3794033,103.8438621,"Yio Chu Kang",522
"639 ANG MO KIO AVENUE 6",1.3799029,103.8425036,"Yio Chu Kang",682
"124 ANG MO KIO AVENUE 6",1.3708768,103.8447681,"Ang Mo Kio",872
"727 ANG MO KIO AVENUE 6",1.3726272,103.8461269,"Ang Mo Kio",740
"505 ANG MO KIO AVENUE 8",1.3748738,103.8501691,"Ang Mo Kio",822
"509 ANG MO KIO AVENUE 8",1.3739957,103.8501126,"Ang Mo Kio",669
"512 ANG MO KIO AVENUE 8",1.3726088,103.8491169,"Ang Mo Kio",395
"504 ANG MO KIO AVENUE 8",1.3748087,103.848935,"Ang Mo Kio",836
"506 ANG MO KIO AVENUE 8",1.3743701,103.8487538,"Ang Mo Kio",577
"513 ANG MO KIO AVENUE 8",1.3727497,103.8502032,"Ang Mo Kio",514
"709 ANG MO KIO AVENUE 8",1.3711139,103.8475378,"Ang Mo Kio",623
"507 ANG MO KIO AVENUE 8",1.3744809,103.850129,"Ang Mo Kio",688
"621 ANG MO KIO AVENUE 9",1.3830649,103.8406919,"Lentor",557
"625 ANG MO KIO AVENUE 9",1.3822405,103.8412368,"Yio Chu Kang",708
"623 ANG MO KIO AVENUE 9",1.3826974,103.8408731,"Yio Chu Kang",742
"455C ANG MO KIO STREET 44",1.3684308,103.8579514,"Ang Mo Kio",1133
"455A ANG MO KIO STREET 44",1.3681902,103.8575413,"Ang Mo Kio",1063
"591A ANG MO KIO STREET 51",1.3710466,103.8522114,"Ang Mo Kio",897
"590A ANG MO KIO STREET 51",1.3712463,103.8536766,"Ang Mo Kio",582
"650 ANG MO KIO STREET 61",1.3776837,103.8426804,"Yio Chu Kang",863
"310B ANG MO KIO AVENUE 1",1.3647262,103.8442246,"Ang Mo Kio",1121
"335 ANG MO KIO AVENUE 1",1.3631496,103.8507467,"Ang Mo Kio",947
"336 ANG MO KIO AVENUE 1",1.3635804,103.8518393,"Ang Mo Kio",835
"337 ANG MO KIO AVENUE 1",1.3631812,103.8516073,"Ang Mo Kio",854
"307C ANG MO KIO AVENUE 1",1.365584,103.845157,"Ang Mo Kio",821
"205 ANG MO KIO AVENUE 1",1.3670122,103.8434926,"Ang Mo Kio",1299
"303 ANG MO KIO AVENUE 1",1.3663488,103.8450343,"Ang Mo Kio",843
"207 ANG MO KIO AVENUE 1",1.3658637,103.8429084,"Ang Mo Kio",1491
"304 ANG MO KIO AVENUE 1",1.3663611,103.8449547,"Ang Mo Kio",843
"307A ANG MO KIO AVENUE 1",1.3661031,103.8444374,"Ang Mo Kio",911
"310A ANG MO KIO AVENUE 1",1.3648179,103.8439234,"Ang Mo Kio",1099
"307B ANG MO KIO AVENUE 1",1.365781,103.844731,"Ang Mo Kio",858
"438 ANG MO KIO AVENUE 10",1.3670139,103.8538267,"Ang Mo Kio",675
"472 ANG MO KIO AVENUE 10",1.3631798,103.8580845,"Ang Mo Kio",1469
"547 ANG MO KIO AVENUE 10",1.3742406,103.8582657,"Ang Mo Kio",1252
"415 ANG MO KIO AVENUE 10",1.3645245,103.8536456,"Ang Mo Kio",789
"414 ANG MO KIO AVENUE 10",1.3640848,103.8536456,"Ang Mo Kio",1045
"543 ANG MO KIO AVENUE 10",1.3743257,103.8562727,"Ang Mo Kio",1271
"544 ANG MO KIO AVENUE 10",1.3740315,103.8564538,"Ang Mo Kio",1129
"546 ANG MO KIO AVENUE 10",1.3735529,103.8568615,"Ang Mo Kio",1099
"436 ANG MO KIO AVENUE 10",1.3673093,103.8541857,"Ang Mo Kio",936
"413 ANG MO KIO AVENUE 10",1.3635721,103.8536456,"Ang Mo Kio",860
"433 ANG MO KIO AVENUE 10",1.3680359,103.8544614,"Ang Mo Kio",681
"412 ANG MO KIO AVENUE 10",1.3639288,103.8552762,"Ang Mo Kio",1001
